,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,no
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,yes
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,yes
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,yes
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,no
5,0,3,male,,0,0,8.4583,Q,Third,man,True,no
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,no
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,no
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,yes
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,yes
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,yes
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,yes
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,no
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,no
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,no
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,yes
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,no
17,1,2,male,,0,0,13.0,S,Second,man,True,yes
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,no
19,1,3,female,,0,0,7.225,C,Third,woman,False,yes
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,no
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,yes
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,yes
23,1,1,male,28.0,0,0,35.5,S,First,man,True,yes
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,no
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,yes
26,0,3,male,,0,0,7.225,C,Third,man,True,no
27,0,1,male,19.0,3,2,263.0,S,First,man,True,no
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,yes
29,0,3,male,,0,0,7.8958,S,Third,man,True,no
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,no
31,1,1,female,,1,0,146.5208,C,First,woman,False,yes
32,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,no
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,no
35,0,1,male,42.0,1,0,52.0,S,First,man,True,no
36,1,3,male,,0,0,7.2292,C,Third,man,True,yes
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,no
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,no
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,yes
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,no
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,no
42,0,3,male,,0,0,7.8958,C,Third,man,True,no
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,yes
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,yes
45,0,3,male,,0,0,8.05,S,Third,man,True,no
46,0,3,male,,1,0,15.5,Q,Third,man,True,no
47,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
48,0,3,male,,2,0,21.6792,C,Third,man,True,no
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,no
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,no
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,no
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,yes
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,yes
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,no
55,1,1,male,,0,0,35.5,S,First,man,True,yes
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,yes
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,no
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,yes
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,no
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,no
61,1,1,female,38.0,0,0,80.0,,First,woman,False,yes
62,0,1,male,45.0,1,0,83.475,S,First,man,True,no
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,no
64,0,1,male,,0,0,27.7208,C,First,man,True,no
65,1,3,male,,1,1,15.2458,C,Third,man,True,yes
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,yes
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,no
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,yes
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,no
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,no
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,no
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,no
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,no
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,yes
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,no
76,0,3,male,,0,0,7.8958,S,Third,man,True,no
77,0,3,male,,0,0,8.05,S,Third,man,True,no
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,yes
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,yes
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,no
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,yes
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,yes
83,0,1,male,28.0,0,0,47.1,S,First,man,True,no
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,yes
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,yes
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,no
87,0,3,male,,0,0,8.05,S,Third,man,True,no
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,yes
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,no
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,no
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,no
92,0,1,male,46.0,1,0,61.175,S,First,man,True,no
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,no
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,no
95,0,3,male,,0,0,8.05,S,Third,man,True,no
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,no
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,yes
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,yes
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,no
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,no
101,0,3,male,,0,0,7.8958,S,Third,man,True,no
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,no
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,no
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,no
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,no
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,yes
107,1,3,male,,0,0,7.775,S,Third,man,True,yes
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,no
109,1,3,female,,1,0,24.15,Q,Third,woman,False,yes
110,0,1,male,47.0,0,0,52.0,S,First,man,True,no
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,no
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,no
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,no
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,no
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,no
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,no
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,no
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,no
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,no
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,no
121,0,3,male,,0,0,8.05,S,Third,man,True,no
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,no
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,yes
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,no
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,yes
126,0,3,male,,0,0,7.75,Q,Third,man,True,no
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,yes
128,1,3,female,,1,1,22.3583,C,Third,woman,False,yes
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,no
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,no
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,no
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,no
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,yes
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,no
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,no
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,yes
137,0,1,male,37.0,1,0,53.1,S,First,man,True,no
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,no
139,0,1,male,24.0,0,0,79.2,C,First,man,True,no
140,0,3,female,,0,2,15.2458,C,Third,woman,False,no
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,yes
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,yes
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,no
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,no
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,no
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,yes
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,no
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,no
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,no
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,no
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,yes
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,no
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,no
154,0,3,male,,0,0,7.3125,S,Third,man,True,no
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,no
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,yes
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,no
158,0,3,male,,0,0,8.6625,S,Third,man,True,no
159,0,3,male,,8,2,69.55,S,Third,man,True,no
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,no
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,yes
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,no
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,no
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,no
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,yes
166,1,1,female,,0,1,55.0,S,First,woman,False,yes
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,no
168,0,1,male,,0,0,25.925,S,First,man,True,no
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,no
170,0,1,male,61.0,0,0,33.5,S,First,man,True,no
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,no
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,yes
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,no
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,no
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,no
176,0,3,male,,3,1,25.4667,S,Third,man,True,no
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,no
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,no
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,no
180,0,3,female,,8,2,69.55,S,Third,woman,False,no
181,0,2,male,,0,0,15.05,C,Second,man,True,no
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,no
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,yes
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,yes
185,0,1,male,,0,0,50.0,S,First,man,True,no
186,1,3,female,,1,0,15.5,Q,Third,woman,False,yes
187,1,1,male,45.0,0,0,26.55,S,First,man,True,yes
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,no
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,no
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,yes
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,no
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,yes
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,yes
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,yes
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,yes
196,0,3,male,,0,0,7.75,Q,Third,man,True,no
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,no
198,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,no
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,no
201,0,3,male,,8,2,69.55,S,Third,man,True,no
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,no
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,no
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,yes
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,no
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,no
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,yes
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,yes
209,1,1,male,40.0,0,0,31.0,C,First,man,True,yes
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,no
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,yes
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,no
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,no
214,0,3,male,,1,0,7.75,Q,Third,man,True,no
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,yes
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,yes
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,no
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,yes
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,no
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,yes
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,no
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,no
223,0,3,male,,0,0,7.8958,S,Third,man,True,no
224,1,1,male,38.0,1,0,90.0,S,First,man,True,yes
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,no
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,yes
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,no
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,no
229,0,3,female,,3,1,25.4667,S,Third,woman,False,no
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,yes
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,no
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,no
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,yes
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,no
235,0,3,female,,0,0,7.55,S,Third,woman,False,no
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,no
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,yes
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,no
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,no
240,0,3,female,,1,0,14.4542,C,Third,woman,False,no
241,1,3,female,,1,0,15.5,Q,Third,woman,False,yes
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,no
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,no
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,no
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,no
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,no
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,yes
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,yes
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,no
250,0,3,male,,0,0,7.25,S,Third,man,True,no
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,no
252,0,1,male,62.0,0,0,26.55,S,First,man,True,no
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,no
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,no
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,yes
256,1,1,female,,0,0,79.2,C,First,woman,False,yes
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,yes
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,yes
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,yes
260,0,3,male,,0,0,7.75,Q,Third,man,True,no
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,yes
262,0,1,male,52.0,1,1,79.65,S,First,man,True,no
263,0,1,male,40.0,0,0,0.0,S,First,man,True,no
264,0,3,female,,0,0,7.75,Q,Third,woman,False,no
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,no
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,no
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,yes
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,yes
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,yes
270,0,1,male,,0,0,31.0,S,First,man,True,no
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,yes
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,yes
273,0,1,male,37.0,0,1,29.7,C,First,man,True,no
274,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,yes
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,no
277,0,2,male,,0,0,0.0,S,Second,man,True,no
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,no
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,yes
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,no
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,no
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,no
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,yes
284,0,1,male,,0,0,26.0,S,First,man,True,no
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,no
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,yes
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,no
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,yes
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,yes
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,yes
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,yes
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,no
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,no
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,no
295,0,1,male,,0,0,27.7208,C,First,man,True,no
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,no
